"","x"
"1",0.000533333333333333
"2",0.000566666666666667
"3",6e-04
"4",0.000633333333333333
"5",0.000666666666666667
"6",7e-04
"7",0.000733333333333333
"8",0.000766666666666667
"9",8e-04
"10",0.000833333333333333
"11",0.000866666666666667
"12",9e-04
"13",0.000933333333333333
"14",0.000966666666666667
"15",0.001
"16",0.00103333333333333
"17",0.00106666666666667
"18",0.0011
"19",0.00116166666666667
"20",0.00116666666666667
"21",0.0012
"22",0.00123333333333333
"23",0.00126666666666667
"24",0.0013
"25",0.00133333333333333
"26",0.00136666666666667
"27",0.0014
"28",0.00143333333333333
"29",0.00146666666666667
"30",0.0015
"31",0.00153333333333333
"32",0.00156666666666667
"33",0.0016
"34",0.00163333333333333
"35",0.00166666666666667
"36",0.0017
"37",0.00173333333333333
"38",0.00176666666666667
"39",0.0018
"40",0.00183333333333333
"41",0.00186666666666667
"42",0.0019
"43",0.00193333333333333
"44",0.00196666666666667
"45",0.002
"46",0.00203333333333333
"47",0.00206666666666667
"48",0.0021
"49",0.00213333333333333
"50",0.00216666666666667
"51",0.0022
"52",0.00223333333333333
"53",0.00226666666666667
"54",0.0023
"55",0.00233333333333333
"56",0.00236666666666667
"57",0.0024
"58",0.00243333333333333
"59",0.00246666666666667
"60",0.0025
"61",0.00253333333333333
"62",0.00256666666666667
"63",0.0026
"64",0.00263333333333333
"65",0.00266666666666667
"66",0.0027
"67",0.00280166666666667
"68",0.00276666666666667
"69",0.0028
"70",0.00283333333333333
"71",0.00286666666666667
"72",0.0029
"73",0.00293333333333333
"74",0.00296666666666667
"75",0.003
